epoch,accuracy,loss,val_accuracy,val_loss
0,0.10437710583209991,3.3564980030059814,0.05309734493494034,2.3085718154907227
1,0.12457912415266037,3.0139811038970947,0.07079645991325378,2.3130249977111816
2,0.17845118045806885,2.799926519393921,0.07079645991325378,2.306891679763794
3,0.19696970283985138,2.611137866973877,0.13274335861206055,2.307267665863037
4,0.2693602740764618,2.375697612762451,0.0796460211277008,2.311506986618042
5,0.3821548819541931,1.9768140316009521,0.14159291982650757,2.3043558597564697
6,0.4292929172515869,1.8099558353424072,0.09734513610601425,2.308961868286133
7,0.5050504803657532,1.5431050062179565,0.0796460211277008,2.304941415786743
8,0.6548821330070496,1.0856674909591675,0.14159291982650757,2.289950132369995
9,0.7575757503509521,0.7419157028198242,0.16814158856868744,2.278836965560913
10,0.8367003202438354,0.4992302656173706,0.1150442510843277,2.273916482925415
11,0.8602693676948547,0.42810502648353577,0.14159291982650757,2.256633996963501
12,0.8888888955116272,0.34014892578125,0.16814158856868744,2.2537834644317627
13,0.9191918969154358,0.27280956506729126,0.24778760969638824,2.2441749572753906
14,0.9276094436645508,0.23033876717090607,0.24778760969638824,2.2405643463134766
15,0.936026930809021,0.2033810019493103,0.1504424810409546,2.223311185836792
16,0.9461279511451721,0.18445172905921936,0.21238937973976135,2.197540521621704
17,0.9545454382896423,0.17840655148029327,0.3008849620819092,2.186514377593994
18,0.9595959782600403,0.14645394682884216,0.3539822995662689,2.1133134365081787
19,0.9781144857406616,0.1056971400976181,0.29203540086746216,2.1328518390655518
20,0.9831649661064148,0.08761081099510193,0.38053098320961,2.09688401222229
21,0.9831649661064148,0.07195879518985748,0.3451327383518219,2.083192825317383
22,0.9747474789619446,0.07995609194040298,0.28318583965301514,2.070823907852173
23,0.9898989796638489,0.053390324115753174,0.3362831771373749,2.035440683364868
24,0.9814814925193787,0.07937562465667725,0.32743361592292786,1.9826183319091797
25,0.9797979593276978,0.06897862255573273,0.29203540086746216,2.142474412918091
26,0.9764309525489807,0.09168831259012222,0.2654867172241211,2.1009457111358643
27,0.9831649661064148,0.05617896839976311,0.37168142199516296,2.0313949584960938
28,0.9949495196342468,0.04420696198940277,0.3539822995662689,2.0946242809295654
29,0.9932659864425659,0.05025273934006691,0.39823007583618164,2.1227550506591797
