epoch,accuracy,loss,val_accuracy,val_loss
0,0.10000000149011612,3.6487369537353516,0.11428571492433548,2.31303334236145
1,0.17692308127880096,2.9077680110931396,0.05714285746216774,2.3640029430389404
2,0.2461538463830948,2.3866257667541504,0.20000000298023224,2.2672109603881836
3,0.3076923191547394,2.2574002742767334,0.1428571492433548,2.279863119125366
4,0.3807692229747772,1.9804283380508423,0.17142857611179352,2.256922721862793
5,0.42692306637763977,1.797882080078125,0.22857142984867096,2.2164270877838135
6,0.48846152424812317,1.6182762384414673,0.3142857253551483,2.2467687129974365
7,0.5923076868057251,1.3975621461868286,0.11428571492433548,2.2501728534698486
8,0.7230769395828247,0.8848989009857178,0.05714285746216774,2.257704496383667
9,0.7384615540504456,0.8736987709999084,0.1428571492433548,2.2420880794525146
10,0.7653846144676208,0.7196601033210754,0.08571428805589676,2.237069606781006
11,0.8615384697914124,0.43555259704589844,0.22857142984867096,2.2254204750061035
12,0.8807692527770996,0.45075100660324097,0.05714285746216774,2.2469441890716553
13,0.9115384817123413,0.32177087664604187,0.08571428805589676,2.222442626953125
14,0.8692307472229004,0.40624183416366577,0.20000000298023224,2.2242519855499268
15,0.9692307710647583,0.17694981396198273,0.11428571492433548,2.2101857662200928
16,0.9461538195610046,0.18963928520679474,0.20000000298023224,2.2059035301208496
17,0.9346153736114502,0.1970222145318985,0.1428571492433548,2.184074878692627
18,0.9461538195610046,0.16791130602359772,0.20000000298023224,2.1623315811157227
19,0.9846153855323792,0.10140364617109299,0.17142857611179352,2.1800763607025146
20,0.9692307710647583,0.11316708475351334,0.2571428716182709,2.1674551963806152
21,0.9192307591438293,0.22023890912532806,0.20000000298023224,2.195281744003296
22,0.949999988079071,0.1683230847120285,0.20000000298023224,2.215453863143921
23,0.9692307710647583,0.11288882791996002,0.20000000298023224,2.1770427227020264
24,0.9576923251152039,0.1214962750673294,0.2571428716182709,2.1260311603546143
25,0.9653846025466919,0.11720314621925354,0.5428571701049805,1.990085244178772
26,0.8653846383094788,0.4031646251678467,0.22857142984867096,2.0553982257843018
27,0.9192307591438293,0.2587096095085144,0.34285715222358704,2.131990432739258
28,0.9576923251152039,0.13852599263191223,0.34285715222358704,2.1178152561187744
29,0.9923076629638672,0.07253792881965637,0.3142857253551483,2.029897689819336
30,0.949999988079071,0.18270476162433624,0.34285715222358704,1.9830927848815918
31,0.9576923251152039,0.16576147079467773,0.3142857253551483,1.9388728141784668
32,0.9115384817123413,0.32248392701148987,0.2857142984867096,2.0483219623565674
33,0.9038461446762085,0.37539994716644287,0.37142857909202576,1.7731221914291382
34,0.9307692050933838,0.23140089213848114,0.2571428716182709,1.8453565835952759
35,0.9653846025466919,0.15608598291873932,0.5142857432365417,1.6306642293930054
36,0.9692307710647583,0.11682568490505219,0.6000000238418579,1.5916746854782104
37,0.9576923251152039,0.13352422416210175,0.48571428656578064,1.6060889959335327
38,0.9923076629638672,0.06931646913290024,0.4285714328289032,1.6884136199951172
39,0.9846153855323792,0.06763554364442825,0.37142857909202576,1.7683818340301514
40,0.9692307710647583,0.0878094956278801,0.4571428596973419,1.835326910018921
41,0.9730769395828247,0.09143572300672531,0.48571428656578064,1.6598289012908936
42,0.9730769395828247,0.08106224983930588,0.5714285969734192,1.6019208431243896
43,0.9884615540504456,0.04938895255327225,0.5714285969734192,1.6600531339645386
44,0.9846153855323792,0.06103087216615677,0.6000000238418579,1.6909778118133545
45,0.9846153855323792,0.07627343386411667,0.5428571701049805,1.6583940982818604
46,0.9807692170143127,0.05818978324532509,0.5714285969734192,1.6549659967422485
47,0.9846153855323792,0.06246846914291382,0.48571428656578064,1.6327022314071655
48,0.9884615540504456,0.04753005504608154,0.5428571701049805,1.7025318145751953
49,0.9769230484962463,0.09229106456041336,0.5142857432365417,1.7684227228164673
